Species,Individual,DateTime,RelativePath,File,Date,Trap,Camera
Dingo,UOM2004,2022-12-13 17:37,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-13__17-37-00(1).JPG,2022-12-13,PS1,CamA
Dingo,UOM2004,2022-12-21 15:31,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-21__15-31-44(1).JPG,2022-12-21,PS1,CamA
Dingo,UOF1709,2022-12-21 15:31,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-21__15-31-51(10).JPG,2022-12-21,PS1,CamA
Dingo,UOM2004,2022-12-25 9:07,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-25__09-07-57(1).JPG,2022-12-25,PS1,CamA
Dingo,UOF1709,2022-12-25 9:09,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-25__09-09-31(1).JPG,2022-12-25,PS1,CamA
Dingo,UOM2004,2022-12-25 10:05,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-25__10-05-31(1).JPG,2022-12-25,PS1,CamA
Dingo,UOF1709,2022-12-25 10:05,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-25__10-05-46(7).JPG,2022-12-25,PS1,CamA
Dingo,UOF1709,2022-12-27 6:45,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-27__06-45-51(1).JPG,2022-12-27,PS1,CamA
Dingo,UOM2004,2022-12-27 6:54,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-27__06-54-44(1).JPG,2022-12-27,PS1,CamA
Dingo,UOF2101,2022-12-28 15:12,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2022-12-28__15-12-38(1).JPG,2022-12-28,PS1,CamA
Dingo,UOF1709,2023-01-07 17:15,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-01-07__17-15-17(1).JPG,2023-01-07,PS1,CamA
Dingo,UOM2004,2023-01-07 17:15,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-01-07__17-15-19(3).JPG,2023-01-07,PS1,CamA
Dingo,UOF1709,2023-01-17 19:25,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-01-17__19-25-49(1).JPG,2023-01-17,PS1,CamA
Dingo,UOM2004,2023-01-17 19:25,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-01-17__19-25-53(4).JPG,2023-01-17,PS1,CamA
Dingo,UOM2004,2023-01-21 10:48,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-01-21__10-48-29(1).JPG,2023-01-21,PS1,CamA
Dingo,UOF1709,2023-01-22 6:40,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-01-22__06-40-45(1).JPG,2023-01-22,PS1,CamA
Dingo,UOM2004,2023-01-22 6:40,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-01-22__06-40-46(3).JPG,2023-01-22,PS1,CamA
Dingo,UOM2004,2023-02-13 17:35,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-02-13__17-35-24(1).JPG,2023-02-13,PS1,CamA
Dingo,UOF1709,2023-02-13 17:35,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-02-13__17-35-38(4).JPG,2023-02-13,PS1,CamA
Dingo,UOF2101,2023-03-09 6:45,BrendanAltingMLDP2023Images\PS1\CamB,PS1__CamB__2023-03-09__06-45-55(3).JPG,2023-03-09,PS1,CamB
Dingo,UOM2008,2023-03-20 5:21,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-03-20__05-21-16(1).JPG,2023-03-20,PS1,CamA
Dingo,UOF1709,2023-03-25 17:18,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-03-25__17-18-42(1).JPG,2023-03-25,PS1,CamA
Dingo,UOM2004,2023-03-25 17:19,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-03-25__17-19-05(1).JPG,2023-03-25,PS1,CamA
Dingo,UOF1709,2023-03-28 14:24,BrendanAltingMLDP2023Images\PS1\CamA,PS1__CamA__2023-03-28__14-24-35(1).JPG,2023-03-28,PS1,CamA
