Trap,Camera,Latitude,Longitude,Setup_date,Retrieval_date,Problem1_from,Problem1_to,Problem2_from,Problem2_to,sessionCol,TrailType,CameraType
PS10,CamA,-32.50121,152.32883,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS10,CamB,-32.50121,152.32883,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS11,CamA,-32.48169,152.35347,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS11,CamB,-32.48169,152.35347,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS12,CamA,-32.5004,152.3555,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS12,CamB,-32.5004,152.3555,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS13,CamA,-32.4571,152.38283,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS13,CamB,-32.4571,152.38283,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS14,CamA,-32.48103,152.39821,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS14,CamB,-32.48103,152.39821,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS15,CamA,-32.46137,152.42685,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS15,CamB,-32.46137,152.42685,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS16,CamA,-32.44598,152.43916,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS16,CamB,-32.44598,152.43916,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS17,CamA,-32.42615,152.47166,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS17,CamB,-32.42615,152.47166,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS18,CamA,-32.46056,152.46057,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS18,CamB,-32.46056,152.46057,31/01/2022,31/03/2022,31/03/2022,31/03/2022,,,2,4wdtrack,Trail
PS19,CamA,-32.44154,152.49286,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS19,CamB,-32.44154,152.49286,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS20,CamA,-32.39972,152.50082,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS20,CamB,-32.39972,152.50082,31/01/2022,31/03/2022,,,,,2,Walktrail,Trail
PS21,CamA,-32.43413,152.51566,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS21,CamB,-32.43413,152.51566,31/01/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS22,CamA,-32.40055,152.46797,31/01/2022,31/03/2022,31/03/2022,31/03/2022,,,2,Unsealedroad,Trail
PS22,CamB,-32.40055,152.46797,31/01/2022,31/03/2022,,,,,2,Unsealedroad,Trail
PS23,CamA,-32.568351,152.282358,4/03/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS23,CamB,-32.568351,152.282358,4/03/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS24,CamA,-32.610565,152.216478,4/03/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS24,CamB,-32.610565,152.216478,4/03/2022,31/03/2022,,,,,2,4wdtrack,Trail
PS1,CamA,-32.67982,152.18388,01/04/2022,31/05/2022,2/04/2022,6/04/2022,,,3,Walktrail,Trail
PS1,CamB,-32.67982,152.18388,01/04/2022,31/05/2022,,,,,3,Walktrail,Trail
PS2,CamA,-32.657412,152.185272,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS2,CamB,-32.657412,152.185272,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS3,CamA,-32.63617,152.20218,01/04/2022,31/05/2022,1/04/2022,3/05/2022,,,3,4wdtrack,Trail
PS3,CamB,-32.63617,152.20218,01/04/2022,31/05/2022,10/04/2022,3/05/2022,,,3,4wdtrack,Trail
PS5,CamA,-32.60284,152.23293,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS5,CamB,-32.60284,152.23293,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS6,CamA,-32.58665,152.27344,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS6,CamB,-32.58665,152.27344,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS8,CamA,-32.53981,152.3132,01/04/2022,31/05/2022,5/04/2022,4/05/2022,28/05/2022,31/05/2022,3,Walktrail,Trail
PS8,CamB,-32.53981,152.3132,01/04/2022,31/05/2022,,,,,3,Walktrail,Trail
PS9,CamA,-32.51167,152.32956,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
PS9,CamB,-32.51167,152.32956,01/04/2022,31/05/2022,,,,,3,4wdtrack,Trail
